settlementdate,energy,market_value,price
2022-01-01 00:00:00+10:00,122294.14974916667,8733368.653774668,71.41280814893746
2022-01-02 00:00:00+10:00,111073.70158083334,4914917.885761408,44.249159034144554
2022-01-03 00:00:00+10:00,94109.8610775,402084.554156625,4.272501835121254
2022-01-04 00:00:00+10:00,108542.9889975,1497918.6271861834,13.80023381538428
2022-01-05 00:00:00+10:00,115635.94533833333,2864337.1810007333,24.77030107394474
2022-01-06 00:00:00+10:00,121495.0718325,5172495.385730625,42.57370531754342
2022-01-07 00:00:00+10:00,118892.24458416666,6017051.097917916,50.60928169842316
2022-01-08 00:00:00+10:00,103066.27866833334,4113917.5980658,39.91526279225004
2022-01-09 00:00:00+10:00,96733.49700083333,4656591.576085875,48.13835662372218
2022-01-10 00:00:00+10:00,121654.56108416666,8682451.463348525,71.36971590684195
2022-01-11 00:00:00+10:00,124769.79407916666,6175341.903220941,49.49388550968254
2022-01-12 00:00:00+10:00,125909.16866583333,1557542.1114721582,12.370362920955511
2022-01-13 00:00:00+10:00,135319.3085075,4588491.711010584,33.90862517418398
2022-01-14 00:00:00+10:00,140127.92841416667,10784993.328926267,76.9653376809353
2022-01-15 00:00:00+10:00,110806.70308333333,5427025.6699425,48.97741308899922
2022-01-16 00:00:00+10:00,113267.73333416667,6524867.913720833,57.60570748309164
2022-01-17 00:00:00+10:00,119927.18250333333,7213081.473678558,60.145509325861745
2022-01-18 00:00:00+10:00,111678.45942083333,1194846.2405790666,10.698985702127004
2022-01-19 00:00:00+10:00,112475.14692666667,-1285143.89110565,-11.426025448480264
2022-01-20 00:00:00+10:00,117094.80533583333,2337780.7607147917,19.964854580951975
2022-01-21 00:00:00+10:00,126937.33749583333,4187208.026604683,32.98641762312154
2022-01-22 00:00:00+10:00,122843.58058333333,5139287.051710809,41.8360245387383
2022-01-23 00:00:00+10:00,126553.21425,7102481.195328333,56.122487582952346
2022-01-24 00:00:00+10:00,148866.87283166667,13040486.140013482,87.59830774949641
2022-01-25 00:00:00+10:00,152713.15358333333,17026189.45183879,111.49130937531095
2022-01-26 00:00:00+10:00,142949.44158333333,14591340.417522324,102.07343418698285
2022-01-27 00:00:00+10:00,153677.79725333332,12623402.707699126,82.14200706488406
2022-01-28 00:00:00+10:00,147487.23033166668,14762104.099053126,100.09072694535226
2022-01-29 00:00:00+10:00,111236.00359,3988714.0055282335,35.85812036388922
2022-01-30 00:00:00+10:00,115820.191585,9220910.00140936,79.61401095284987
2022-01-31 00:00:00+10:00,148171.8345,85997002.64643833,580.386973925455
