Pindari,PINDARI,NSW1,operating,PINDARI,hydro,6
Redbank,REDBANK1,NSW1,retired,REDBANK1,black_coal,150
Royalla,ROYALLA,NSW1,operating,ROYALLA1,solar,20
Sapphire,SAPHWF1,NSW1,operating,SAPHWF1,wind,270
Shoalhaven,SHOALHAV,NSW1,operating,SHGEN,hydro,240
Shoalhaven,SHOALHAV,NSW1,operating,SHPUMP,pumps,240
Silverton,STWF,NSW1,operating,STWF1,wind,198
Smithfield,SITHE,NSW1,operating,SITHE01,gas_ccgt,39
South Keswick,SKSF,NSW1,operating,SKSF1,solar,15
St George Leagues Club,STGEORGE,NSW1,operating,STGEORG1,distillate,1
Tahmoor,TAHMOOR,NSW1,operating,TAHMOOR1,gas_wcmg,7
Tallawarra,TALLAWAR,NSW1,operating,TALWA1,gas_ccgt,440
Taralga,TARALGA,NSW1,operating,TARALGA1,wind,106
Teralba,TERALBA,NSW1,operating,TERALBA,gas_wcmg,3
The Drop,THEDROP,NSW1,operating,THEDROP1,hydro,3
Tower,TOWER,NSW1,operating,TOWER,gas_wcmg,41
Tumut,SNOWY2,NSW1,operating,UPPTUMUT,hydro,616
Tumut 3,SNOWY1,NSW1,operating,SNOWYP,pumps,600
Tumut 3,SNOWY1,NSW1,operating,TUMUT3,hydro,1500
Uranquinty,URANQ,NSW1,operating,URANQ11,gas_ocgt,166
Uranquinty,URANQ,NSW1,operating,URANQ12,gas_ocgt,166
Uranquinty,URANQ,NSW1,operating,URANQ13,gas_ocgt,166
Uranquinty,URANQ,NSW1,operating,URANQ14,gas_ocgt,166
Vales Point B,VP,NSW1,operating,VP5,black_coal,660
Vales Point B,VP,NSW1,operating,VP6,black_coal,660
Wallerawang,WW,NSW1,retired,WW7,black_coal,500
Wallerawang,WW,NSW1,retired,WW8,black_coal,500
Warragamba,WG,NSW1,retired,WG01,hydro,50
West Illawarra Leagues Club,WESTILLA,NSW1,operating,WESTILL1,distillate,1
West Nowra,AGLNOW1,NSW1,operating,AGLNOW1,bioenergy_biogas,1
Western Suburbs League Club,WESTCBT,NSW1,operating,WESTCBT1,distillate,1
White Rock,WRSF1,NSW1,operating,WRSF1,solar,22
White Rock,WRWF1,NSW1,operating,WRWF1,wind,175
White Rock Wind and,WHIROCWIND,NSW1,operating,WRSF1,solar,22
White Rock Wind and,WHIROCWIND,NSW1,operating,WRWF1,wind,175
Wilga Park,WILGAPK,NSW1,operating,WILGAPK,gas_recip,10
Wilga Park B,WILGAPKB,NSW1,operating,WILGB01,gas_recip,12
Willoughby,NINEWIL,NSW1,operating,NINEWIL1,distillate,3
Woodlawn,WOODLWN,NSW1,operating,WOODLWN1,wind,48
Woodlawn Bioreactor,WDLNGN,NSW1,operating,WDLNGN01,bioenergy_biogas,7
Woy Woy,WOYWOY,NSW1,operating,WOYWOY1,bioenergy_biogas,1
Wyangala A,WYANGALA,NSW1,operating,WYANGALA,hydro,20
Wyangala B,WYANGALB,NSW1,operating,WYANGALB,hydro,4
Baking Board,BAKING,QLD1,operating,BAKING1,solar,17
Barcaldine,BARCALDN,QLD1,operating,BARCALDN,gas_ccgt,37
Barcaldine,BARCSF,QLD1,operating,BARCSF1,solar,10
Barron Gorge,BARRON,QLD1,operating,BARRON-1,hydro,30
Barron Gorge,BARRON,QLD1,operating,BARRON-2,hydro,30
Braemar,BRAEMARA,QLD1,operating,BRAEMAR1,gas_ocgt,168
Braemar,BRAEMARA,QLD1,operating,BRAEMAR2,gas_ocgt,168
Braemar,BRAEMARA,QLD1,operating,BRAEMAR3,gas_ocgt,168
Braemar 2,B2PS,QLD1,operating,BRAEMAR5,gas_ocgt,173
Braemar 2,B2PS,QLD1,operating,BRAEMAR6,gas_ocgt,173
Braemar 2,B2PS,QLD1,operating,BRAEMAR7,gas_ocgt,173
Browns Plains,BPLANDF,QLD1,operating,BPLANDF1,bioenergy_biogas,2
Callide A,CALL_A,QLD1,retired,CALL_A_2,black_coal,30
Callide A,CALL_A,QLD1,retired,CALL_A_4,black_coal,30
Callide B,CALL_B,QLD1,operating,CALL_B_1,black_coal,350
Callide B,CALL_B,QLD1,operating,CALL_B_2,black_coal,350
Callide C,CALLIDEC1,QLD1,operating,CPP_3,black_coal,420
Callide C,CALLIDEC1,QLD1,operating,CPP_4,black_coal,420
Childers,CHILDSF,QLD1,operating,CHILDSF1,solar,64
Clare,CLARESF,QLD1,operating,CLARESF1,solar,110
Clermont,CLERMSF,QLD1,operating,CLERMSF1,solar,92
Collinsville,COLNSV,QLD1,retired,COLNSV_1,black_coal,30
Collinsville,COLNSV,QLD1,retired,COLNSV_2,black_coal,30
Collinsville,COLNSV,QLD1,retired,COLNSV_3,black_coal,30
Collinsville,COLNSV,QLD1,retired,COLNSV_4,black_coal,30
Collinsville,COLNSV,QLD1,retired,COLNSV_5,black_coal,66
Collinsville,CSPVPS,QLD1,operating,CSPVPS1,solar,42
Condamine  A,CPSA,QLD1,operating,CPSA,gas_ccgt,143
Coopers Gap,COOPGWF,QLD1,operating,COOPGWF1,wind,452
Daandine,DAANDINE,QLD1,operating,DAANDINE,gas_recip,33
Darling Downs,DDPS1,QLD1,operating,DDPS1,gas_ccgt,121
Darling Downs,DDSF,QLD1,operating,DDSF1,solar,121
Daydream,DAYDSF,QLD1,operating,DAYDSF1,solar,79
Emerald,EMERASF,QLD1,operating,EMERASF1,solar,88
German Creek,GERMCRK,QLD1,operating,GERMCRK,gas_wcmg,45
Gladstone,G/STONE,QLD1,operating,GSTONE1,black_coal,280
Gladstone,G/STONE,QLD1,operating,GSTONE2,black_coal,280
Gladstone,G/STONE,QLD1,operating,GSTONE3,black_coal,280
Gladstone,G/STONE,QLD1,operating,GSTONE4,black_coal,280
